1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
11000;Mord im Zusammenhang mit Raubdelikten;2010;61;29;32;0;0;0;1;0;1;3;2;1;39;24;15;18;3;15;57;27;30;
11000;Mord im Zusammenhang mit Raubdelikten;2011;62;46;16;0;0;0;3;3;0;1;1;0;35;30;5;23;12;11;58;42;16;
11000;Mord im Zusammenhang mit Raubdelikten;2012;59;44;15;0;0;0;2;1;1;0;0;0;41;34;7;16;9;7;57;43;14;
11000;Mord im Zusammenhang mit Raubdelikten;2013;47;29;18;0;0;0;1;1;0;2;2;0;30;21;9;14;5;9;44;26;18;
11000;Mord im Zusammenhang mit Raubdelikten;2014;49;32;17;0;0;0;0;0;0;1;0;1;29;22;7;19;10;9;48;32;16;
11000;Mord im Zusammenhang mit Raubdelikten;2015;43;27;16;0;0;0;0;0;0;1;1;0;24;17;7;18;9;9;42;26;16;
11000;Mord im Zusammenhang mit Raubdelikten;2016;51;31;20;1;0;1;0;0;0;2;2;0;30;20;10;18;9;9;48;29;19;
11000;Mord im Zusammenhang mit Raubdelikten;2017;46;26;20;0;0;0;3;2;1;1;1;0;23;14;9;19;9;10;42;23;19;
11000;Mord im Zusammenhang mit Raubdelikten;2018;47;33;14;0;0;0;0;0;0;2;2;0;26;20;6;19;11;8;45;31;14;
11000;Mord im Zusammenhang mit Raubdelikten;2019;41;31;10;0;0;0;2;2;0;0;0;0;27;21;6;12;8;4;39;29;10;
11000;Mord im Zusammenhang mit Raubdelikten;2020;34;23;11;0;0;0;0;0;0;3;3;0;18;14;4;13;6;7;31;20;11;
11000;Mord im Zusammenhang mit Raubdelikten;2021;36;21;15;0;0;0;1;1;0;0;0;0;20;14;6;15;6;9;35;20;15;316538
11000;Mord im Zusammenhang mit Raubdelikten;2022;35;30;5;0;0;0;1;1;0;3;3;0;19;18;1;12;8;4;31;26;5;316538
12000;Mord im Zusammenhang mit Sexualdelikten;2000;27;2;25;4;1;3;1;0;1;4;0;4;16;1;15;2;0;2;18;1;17;
12000;Mord im Zusammenhang mit Sexualdelikten;2001;25;4;21;6;3;3;2;0;2;3;1;2;13;0;13;1;0;1;14;0;14;
12000;Mord im Zusammenhang mit Sexualdelikten;2002;31;2;29;3;0;3;7;0;7;4;0;4;15;1;14;2;1;1;17;2;15;
12000;Mord im Zusammenhang mit Sexualdelikten;2003;29;5;24;5;1;4;5;0;5;2;0;2;14;3;11;3;1;2;17;4;13;
12000;Mord im Zusammenhang mit Sexualdelikten;2004;26;2;24;6;1;5;3;1;2;1;0;1;15;0;15;1;0;1;16;0;16;
12000;Mord im Zusammenhang mit Sexualdelikten;2005;23;4;19;4;1;3;5;0;5;0;0;0;11;3;8;3;0;3;14;3;11;
12000;Mord im Zusammenhang mit Sexualdelikten;2006;23;3;20;4;3;1;1;0;1;3;0;3;14;0;14;1;0;1;15;0;15;
12000;Mord im Zusammenhang mit Sexualdelikten;2007;18;2;16;4;1;3;4;0;4;1;1;0;8;0;8;1;0;1;9;0;9;
12000;Mord im Zusammenhang mit Sexualdelikten;2008;19;3;16;2;1;1;0;0;0;3;0;3;11;1;10;3;1;2;14;2;12;
12000;Mord im Zusammenhang mit Sexualdelikten;2009;14;0;14;2;0;2;1;0;1;2;0;2;6;0;6;3;0;3;9;0;9;
12000;Mord im Zusammenhang mit Sexualdelikten;2010;13;0;13;1;0;1;0;0;0;0;0;0;10;0;10;2;0;2;12;0;12;
12000;Mord im Zusammenhang mit Sexualdelikten;2011;27;3;24;5;1;4;3;0;3;1;0;1;15;2;13;3;0;3;18;2;16;
12000;Mord im Zusammenhang mit Sexualdelikten;2012;20;4;16;1;0;1;1;0;1;2;0;2;14;3;11;2;1;1;16;4;12;
12000;Mord im Zusammenhang mit Sexualdelikten;2013;7;1;6;1;1;0;0;0;0;0;0;0;5;0;5;1;0;1;6;0;6;
12000;Mord im Zusammenhang mit Sexualdelikten;2014;18;3;15;4;0;4;0;0;0;1;0;1;11;3;8;2;0;2;13;3;10;
12000;Mord im Zusammenhang mit Sexualdelikten;2015;14;3;11;0;0;0;3;0;3;2;0;2;8;3;5;1;0;1;9;3;6;
12000;Mord im Zusammenhang mit Sexualdelikten;2016;10;3;7;2;2;0;1;0;1;2;0;2;5;1;4;0;0;0;5;1;4;
12000;Mord im Zusammenhang mit Sexualdelikten;2017;8;1;7;0;0;0;0;0;0;1;0;1;6;1;5;1;0;1;7;1;6;
12000;Mord im Zusammenhang mit Sexualdelikten;2018;8;1;7;1;0;1;1;0;1;1;0;1;4;1;3;1;0;1;5;1;4;
12000;Mord im Zusammenhang mit Sexualdelikten;2019;4;0;4;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;4;0;4;
12000;Mord im Zusammenhang mit Sexualdelikten;2020;8;2;6;1;0;1;0;0;0;2;0;2;5;2;3;0;0;0;5;2;3;
12000;Mord im Zusammenhang mit Sexualdelikten;2021;11;1;10;3;1;2;1;0;1;1;0;1;4;0;4;2;0;2;6;0;6;318266
12000;Mord im Zusammenhang mit Sexualdelikten;2022;8;0;8;2;0;2;1;0;1;0;0;0;5;0;5;0;0;0;5;0;5;318266
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2000;1,979;1,333;646;105;61;44;78;54;24;150;112;38;1,476;1,028;448;170;78;92;1,646;1,106;540;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2001;1,928;1,259;669;111;61;50;71;49;22;156;121;35;1,413;943;470;177;85;92;1,590;1,028;562;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2002;1,968;1,315;653;121;63;58;67;49;18;134;110;24;1,483;1,007;476;163;86;77;1,646;1,093;553;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2003;1,937;1,313;624;98;55;43;81;55;26;153;129;24;1,446;1,001;445;159;73;86;1,605;1,074;531;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2004;1,902;1,246;656;113;58;55;72;50;22;144;114;30;1,389;942;447;184;82;102;1,573;1,024;549;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2005;1,832;1,236;596;95;52;43;76;50;26;131;95;36;1,329;938;391;201;101;100;1,530;1,039;491;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2006;1,928;1,306;622;99;63;36;77;53;24;176;138;38;1,377;959;418;199;93;106;1,576;1,052;524;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2007;1,893;1,282;611;121;76;45;88;63;25;171;139;32;1,315;920;395;198;84;114;1,513;1,004;509;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2008;1,817;1,285;532;112;54;58;79;67;12;145;118;27;1,318;977;341;163;69;94;1,481;1,046;435;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2009;1,775;1,247;528;90;47;43;56;33;23;179;151;28;1,281;937;344;169;79;90;1,450;1,016;434;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2010;1,787;1,243;544;82;39;43;92;59;33;156;122;34;1,268;943;325;189;80;109;1,457;1,023;434;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2011;1,660;1,180;480;90;51;39;70;51;19;129;103;26;1,200;891;309;171;84;87;1,371;975;396;
