1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
131412;Versuch des Sexuellen Missbrauchs von Kindern ohne Körperkontakt mit dem Kind (Scheinkindkonstellation) § 176a Abs. 1 nr. 3 i.V.m. Abs. 3 StGB;128;17;13;12;6;6;6;16;16;13;12;9;2;0;01.01.2022;31.12.9999
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;398;39;43;37;40;40;28;26;31;29;38;28;19;0;01.01.2022;31.12.9999
131421;Sexueller Missbrauch von Kindern - Einwirken auf Kind zur Vorbereitung sex. Missbrauchs § 176b Abs. 1 StGB;329;31;36;31;34;34;24;22;27;25;30;22;13;0;01.01.2022;31.12.9999
131422;Versuch der Vorbereitung des sexuellen Missbrauchs von Kindern (Scheinkindkonstellation) § 176b Abs. 1 i.V.m. Abs. 3 StGB;69;8;7;6;6;6;4;4;4;4;8;6;6;0;01.01.2022;31.12.9999
131500;Schwerer Sexueller Missbrauch von Kindern - Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176c Abs. 1 Nr. 2 StGB;641;70;42;48;56;60;57;78;55;59;41;38;36;1;01.01.2022;31.12.9999
131600;Schwerer sexueller Missbrauch von Kindern - Herstellung und Verbreitung pornographischer Inhalte § 176c Abs. 2 StGB;70;5;2;5;4;4;8;7;6;10;9;6;4;0;01.01.2022;31.12.9999
131700;Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen gem. § 176c StGB;681;67;56;67;56;71;63;66;67;53;52;30;33;0;01.01.2022;31.12.9999
131710;Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen § 176c Abs. 1 Nr. 1, 3, 4 StGB;678;67;56;67;56;71;63;65;67;52;51;30;33;0;01.01.2022;31.12.9999
131720;Schwerer sexueller Missbrauch von Kindern - mit schwerer körperlicher Misshandlung oder Gefahr des Todes § 176c Abs. 3 StGB;3;0;0;0;0;0;0;1;0;1;1;0;0;0;01.01.2022;31.12.9999
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176d StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2022;31.12.9999
131900;Verbreitung und Besitz von Anleitungen zu sexuellem Missbrauch von Kindern § 176e StGB;13;1;1;2;4;1;0;0;0;2;0;2;0;0;01.01.2022;31.12.9999
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;8,27;469;439;573;522;907;1,068;995;1,049;679;730;510;329;0;01.01.1987;31.12.9999
132010;Exhibitionistische Handlungen § 183 StGB;6,912;393;390;471;436;751;881;813;859;579;620;430;289;0;01.01.2008;31.12.9999
