1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;
Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
899500;Sachbeschädigung durch Graffiti insgesamt;14612000;Dresden;1,336;240.6;1;0.1;0;0;102;7.6;120;99;21;6;5;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5112000;Duisburg;361;72.9;0;0;0;0;43;11.9;43;37;6;6;14;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5111000;Düsseldorf;649;104.8;2;0.3;0;0;71;10.9;100;95;5;18;18;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;16051000;Erfurt;286;134.1;3;1;0;0;46;16.1;28;25;3;3;10.7;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;9562000;Erlangen;172;151.8;0;0;0;0;72;41.9;12;10;2;3;25;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5113000;Essen;719;124.1;3;0.4;0;0;143;19.9;63;56;7;9;14.3;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;6412000;Frankfurt am Main;1,020;134.3;0;0;0;0;127;12.5;87;76;11;12;13.8;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;8311000;Freiburg im Breisgau;389;167.8;0;0;0;0;29;7.5;35;32;3;2;5.7;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;9563000;Fürth;42;32.5;1;2.4;0;0;20;47.6;7;7;0;1;14.3;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5513000;Gelsenkirchen;148;56.9;7;4.7;0;0;14;9.5;20;15;5;4;20;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;3159016;Göttingen;247;211.9;1;0.4;0;0;58;23.5;14;9;5;0;0;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5754008;Gütersloh;76;75.1;0;0;0;0;9;11.8;11;9;2;2;18.2;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5914000;Hagen;266;141;0;0;0;0;66;24.8;36;31;5;15;41.7;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;15002000;Halle (Saale);1,732;727.5;8;0.5;0;0;253;14.6;77;67;10;9;11.7;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;2000000;Hamburg;3,033;163.6;5;0.2;0;0;325;10.7;431;394;37;56;13;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5915000;Hamm;271;151.2;0;0;0;0;90;33.2;28;17;11;6;21.4;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;6435014;Hanau;87;88.3;0;0;0;0;4;4.6;4;4;0;0;0;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;3241001;Hannover;833;155.4;3;0.4;0;0;116;13.9;69;64;5;7;10.1;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;8221000;Heidelberg;216;135.6;0;0;0;0;9;4.2;8;8;0;0;0;2736458
