1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
131100;Sexueller Missbrauch von Kindern - sexuelle Handlungen an Kind/durch Kind vornehmen lässt § 176 Abs 1 Nr. 1 und 2 StGB;265;0.1;30;11.3;108;65;38;31;23;0;0;232;87.5;226;215;11;21;9.3
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176a Abs. 1 Nr. 1 StGB;80;0;9;11.3;28;19;21;5;7;0;0;62;77.5;61;58;3;9;14.8
131300;Sexueller Missbrauch von Kindern - Täter bestimmt Kind, sexuelle Handlungen an sich selbst vorzunehmen § 176a Abs 1 Nr. 2 StGB;499;0.1;75;15;283;101;53;40;22;0;0;414;83;266;255;11;26;9.8
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";2,878;0.7;44;1.5;1,032;689;470;326;361;0;0;2,360;82;1,861;1,765;96;177;9.5
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;2,331;0.6;26;1.1;861;598;427;270;175;0;0;2,021;86.7;1,579;1,493;86;150;9.5
131411;Sexueller Missbrauch von Kindern - Einwirken auf Kind durch pornographischen Inhalt oder entsprechende Reden § 176a Abs. 1 Nr. 3 StGB;2,229;0.6;0;0;825;562;413;259;170;0;0;1,928;86.5;1,496;1,411;85;144;9.6
131412;Versuch des Sexuellen Missbrauchs von Kindern ohne Körperkontakt mit dem Kind (Scheinkindkonstellation) § 176a Abs. 1 nr. 3 i.V.m. Abs. 3 StGB;102;0;26;25.5;36;36;14;11;5;0;0;93;91.2;89;88;1;6;6.7
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;547;0.1;18;3.3;171;91;43;56;186;0;0;339;62;307;297;10;28;9.1
131421;Sexueller Missbrauch von Kindern - Einwirken auf Kind zur Vorbereitung sex. Missbrauchs § 176b Abs. 1 StGB;498;0.1;0;0;156;79;37;44;182;0;0;297;59.6;266;257;9;25;9.4
131422;Versuch der Vorbereitung des sexuellen Missbrauchs von Kindern (Scheinkindkonstellation) § 176b Abs. 1 i.V.m. Abs. 3 StGB;49;0;18;36.7;15;12;6;12;4;0;0;42;85.7;41;40;1;3;7.3
131500;Schwerer Sexueller Missbrauch von Kindern - Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176c Abs. 1 Nr. 2 StGB;36;0;6;16.7;18;7;6;2;3;0;0;32;88.9;30;29;1;2;6.7
131600;Schwerer sexueller Missbrauch von Kindern - Herstellung und Verbreitung pornographischer Inhalte § 176c Abs. 2 StGB;54;0;6;11.1;24;9;2;17;2;0;0;40;74.1;43;38;5;5;11.6
131700;Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen gem. § 176c StGB;55;0;15;27.3;20;11;4;18;2;0;0;37;67.3;36;35;1;3;8.3
131710;Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen § 176c Abs. 1 Nr. 1, 3, 4 StGB;55;0;15;27.3;20;11;4;18;2;0;0;37;67.3;36;35;1;3;8.3
131720;Schwerer sexueller Missbrauch von Kindern - mit schwerer körperlicher Misshandlung oder Gefahr des Todes § 176c Abs. 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176d StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131900;Verbreitung und Besitz von Anleitungen zu sexuellem Missbrauch von Kindern § 176e StGB;4;0;0;0;3;0;1;0;0;0;0;3;75;3;3;0;0;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;10;0;0;0;2;0;4;2;2;0;0;5;50;5;5;0;2;40
132010;Exhibitionistische Handlungen § 183 StGB;9;0;0;0;2;0;3;2;2;0;0;5;55.6;5;5;0;2;40
132020;Erregung öffentlichen Ärgernisses § 183a StGB;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;77;0;38;49.4;34;21;10;5;7;0;0;69;89.6;65;63;2;3;4.6
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;30;0;22;73.3;10;6;7;3;4;0;0;28;93.3;23;23;0;1;4.3
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;47;0;16;34;24;15;3;2;3;0;0;41;87.2;43;41;2;2;4.7
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;49,091;12.4;95;0.2;16,899;14,216;7,534;6,577;3,865;0;0;43,459;88.5;41,435;34,390;7,045;8,649;20.9
140010;Ausübung der verbotenen Prostitution § 184f StGB;18;0;0;0;6;12;0;0;0;0;0;18;100;20;1;19;15;75
140020;Jugendgefährdende Prostitution § 184g StGB;1;0;0;0;1;0;0;0;0;0;0;1;100;1;1;0;0;0
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;38;0;15;39.5;10;12;7;8;1;0;0;31;81.6;27;25;2;6;22.2
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;38;0;15;39.5;10;12;7;8;1;0;0;31;81.6;27;25;2;6;22.2
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;25;0;11;44;5;11;4;5;0;0;0;23;92;19;17;2;6;31.6
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;13;0;4;30.8;5;1;3;3;1;0;0;8;61.5;8;8;0;0;0
141200;Ausbeuten von Prostituierten § 180a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142000;Zuhälterei § 181a StGB;6;0;0;0;2;3;0;1;0;0;0;6;100;5;4;1;4;80
143000;Verbreitung pornografischer Inhalte (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184e StGB;48,764;12.3;80;0.2;16,816;14,108;7,483;6,523;3,834;0;0;43,174;88.5;41,165;34,184;6,981;8,573;20.8
143010;Sonstige Verbreitung pornografischer Inhalte (Erzeugnisse) § 184 StGB;2,103;0.5;0;0;529;562;347;400;265;0;0;1,557;74;1,446;1,298;148;253;17.5
143020;Verbreitung gewalt- oder tierpornografischer Inhalte § 184a StGB;349;0.1;0;0;150;94;42;31;32;0;0;321;92;321;280;41;45;14
143040;Veranstaltung und Besuch kinder- und jugendpornografischer Darbietungen § 184e StGB;2;0;0;0;1;0;0;0;1;0;0;2;100;2;1;1;0;0
143100;Verbreitung pornografischer Inhalte (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;1,827;0.5;0;0;723;531;202;146;225;0;0;1,583;86.6;1,587;1,368;219;153;9.6
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Inhalte § 184b StGB;38,499;9.7;48;0.1;13,179;11,299;6,100;5,237;2,684;0;0;34,254;89;33,327;27,688;5,639;7,410;22.2
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB;21,391;5.4;48;0.2;7,240;6,025;3,540;3,309;1,277;0;0;18,650;87.2;18,519;15,635;2,884;5,129;27.7
143211;Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB;18,131;4.6;45;0.2;6,043;5,296;3,039;2,531;1,222;0;0;15,761;86.9;15,780;13,430;2,350;4,445;28.2
143212;Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB;2,673;0.7;0;0;987;572;387;685;42;0;0;2,351;88;2,311;1,949;362;609;26.4
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;209;0.1;3;1.4;76;54;39;37;3;0;0;196;93.8;190;140;50;31;16.3
143214;Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB;378;0.1;0;0;134;103;75;56;10;0;0;342;90.5;382;242;140;71;18.6
143220;Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;55;0;0;0;10;24;10;7;4;0;0;44;80;47;40;7;13;27.7
143230;Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB;17,053;4.3;0;0;5,929;5,250;2,550;1,921;1,403;0;0;15,560;91.2;15,583;12,769;2,814;2,395;15.4
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Inhalte § 184c StGB;5,984;1.5;32;0.5;2,234;1,622;792;709;627;0;0;5,457;91.2;5,409;4,416;993;833;15.4
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB;3,075;0.8;32;1;1,170;885;433;404;183;0;0;2,828;92;2,887;2,373;514;540;18.7
143511;Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB;2,440;0.6;23;0.9;915;715;342;305;163;0;0;2,230;91.4;2,325;1,914;411;444;19.1
143512;Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB;378;0.1;0;0;155;80;56;77;10;0;0;355;93.9;349;291;58;65;18.6
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB;117;0;9;7.7;52;45;9;7;4;0;0;114;97.4;96;83;13;14;14.6
143514;Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB;140;0;0;0;48;45;26;15;6;0;0;129;92.1;142;108;34;24;16.9
143520;Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;20;0;0;0;3;7;6;1;3;0;0;17;85;22;17;5;4;18.2
143530;Besitz oder sich Verschaffen von Jugendpornografie § 184c Abs. 3 StGB;2,889;0.7;0;0;1,061;730;353;304;441;0;0;2,612;90.4;2,595;2,113;482;301;11.6
145000;Verletzung des Intimbereichs durch Bildaufnahmen § 184k StGB;252;0.1;0;0;60;77;41;45;29;0;0;217;86.1;225;184;41;53;23.6
146000;Inverkehrbringen, Erwerb und Besitz von Sexpuppen mit kindlichem Erscheinungsbild § 184l StGB;12;0;0;0;4;4;3;0;1;0;0;12;100;12;10;2;2;16.7
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;15,745;4;518;3.3;5,100;4,911;2,565;1,911;1,258;56;3;13,713;87.1;13,362;10,583;2,779;3,058;22.9
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;85;0;57;67.1;13;16;14;40;2;4;1;58;68.2;86;76;10;39;45.3
210010;Sonstiger Raub § 249 StGB;3;0;1;33.3;1;0;0;2;0;0;0;2;66.7;3;3;0;1;33.3
210020;Sonstiger schwerer Raub § 250 StGB;2;0;1;50;0;1;1;0;0;0;1;2;100;4;4;0;3;75
210030;Sonstiger Raub mit Todesfolge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210040;Räuberischer Diebstahl § 252 StGB;1;0;0;0;0;0;0;1;0;0;0;1;100;1;1;0;1;100
210050;Sonstige räuberische Erpressung § 255 StGB;66;0;52;78.8;9;14;10;31;2;2;0;45;68.2;51;46;5;22;43.1
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211210;Raub auf Postfilialen und -agenturen § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212000;Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;2;0;2;100;1;0;0;1;0;0;0;0;0;0;0;0;0;0
212010;Raub auf sonstige Kassenräume oder Geschäfte § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212020;Schwerer Raub auf sonstige Kassenräume oder Geschäfte § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212030;Raub mit Todesfolge auf sonstige Kassenräume oder Geschäfte § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212050;Räuberische Erpressung gegen sonstige Kassenräume oder Geschäfte § 255 StGB;1;0;1;100;0;0;0;1;0;0;0;0;0;0;0;0;0;0
212100;Raub, räuberische Erpressung auf/gegen Spielhallen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212110;Raub auf Spielhallen § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212120;Schwerer Raub auf Spielhallen § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
