1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
530079;Unterschlagung sonstiger Güter/Sachen §§ 246, 247, 248a StGB - ohne von Kfz;191;191;0;45;9;28;10;38;10;23;5;23;8,900,670;38;84.4
531000;Unterschlagung von Kfz §§ 246, 247 StGB;34;33;1;3;0;0;0;2;3;10;7;8;1,640,325;3;100
560000;Insolvenzstraftaten §§ 283, 283a-d StGB;1,910;1,901;9;1,249;3;7;3;51;37;180;99;272;146,653,222;1,246;99.8
561000;Bankrott § 283 StGB;1,861;1,853;8;1,233;3;6;3;48;35;168;96;261;140,864,928;1,230;99.8
562000;Besonders schwerer Fall des Bankrotts § 283a StGB;3;3;0;1;0;0;0;0;0;0;0;2;1,479,152;1;100
564000;Gläubigerbegünstigung § 283c StGB;27;26;1;7;0;1;0;3;0;8;2;5;3,413,739;7;100
565000;Schuldnerbegünstigung § 283d StGB;19;19;0;8;0;0;0;0;2;4;1;4;895,403;8;100
712000;Straftaten nach AktG, GenG, GmbHG, HGB, RechnungslegungsG, UmwandlungsG, InsO;3,986;3,986;0;1,540;2;40;40;172;138;588;357;1,109;714,925,343;1,528;99.2
712010;Aktiengesetz;1;1;0;1;0;0;0;0;0;0;0;0;1;1;100
712020;Handelsgesetzbuch;23;23;0;14;0;1;0;0;1;1;3;3;1,445,936;14;100
712030;GmbH-Gesetz;108;108;0;72;0;0;1;4;0;15;14;2;1,167,414;72;100
712040;Genossenschaftsgesetz;1;1;0;1;0;0;0;0;0;0;0;0;1;1;100
712050;Rechnungslegungsgesetz;3;3;0;2;0;0;1;0;0;0;0;0;484;2;100
712060;Umwandlungsgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
712200;Insolvenzverschleppung § 15a InsO;3,850;3,850;0;1,450;2;39;38;168;137;572;340;1,104;712,311,507;1,438;99.2
713000;Delikte im Zusammenhang mit Schwarzarbeitsbekämpfungsgesetz und Arbeitnehmerüberlassungsgesetz;31;31;0;23;0;3;1;1;2;0;0;1;287,518;23;100
713010;Arbeitnehmerüberlassungsgesetz;1;1;0;1;0;0;0;0;0;0;0;0;1;1;100
713030;Schwarzarbeitsbekämpfungsgesetz;30;30;0;22;0;3;1;1;2;0;0;1;287,517;22;100
714000;Straftaten i.V.m. dem Bankgewerbe sowie Wertpapierhandelsgesetz (Güd-Kreditwesen, BörsenG, DepotG, PfandBG, § 35 BundesbankG, ZAG);111;111;0;67;0;0;0;4;2;11;6;21;24,748,566;66;98.5
714010;Bundesbankgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714020;Börsengesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714030;Pfandbriefgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714040;Kreditwesengesetz;42;42;0;25;0;0;0;1;1;3;2;10;22,243,730;25;100
714050;Depotgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714060;Wertpapierhandelsgesetz;31;31;0;18;0;0;0;2;0;4;1;6;1,016,998;18;100
714070;Zahlungsdiensteaufsichtsgesetz;38;38;0;24;0;0;0;1;1;4;3;5;1,487,838;23;95.8
715000;Straftaten im Zusammenhang mit Urheberrechtsbestimmungen (UrheberrechtsG, MarkenG, § 23 Abs. 1, 2 und 4 GeschGehG, DesignG,GebrauchsmusterG, KunsturheberrechtsG, PatentG, HalbleiterschutzG);756;735;21;513;17;64;17;79;12;21;2;10;2,799,005;500;97.5
715010;Markengesetz;464;444;20;300;14;58;14;38;6;8;1;5;1,659,848;289;96.3
715020;Designgesetz;1;1;0;0;0;0;0;0;1;0;0;0;3,580;0;0
715030;Gebrauchsmustergesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
715040;Kunsturheberrechtsgesetz;19;19;0;19;0;0;0;0;0;0;0;0;30;17;89.5
715050;Urheberrechtsgesetz -sonstige Verstöße- (ohne Schl. 715100 u. 715200);184;183;1;161;0;4;2;4;0;6;1;5;1,005,472;161;100
715060;Patentgesetz;2;2;0;2;0;0;0;0;0;0;0;0;2;2;100
715070;Halbleiterschutzgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
715100;Softwarepiraterie (private Anwendung z.B. Computerspiele);22;22;0;19;0;1;0;2;0;0;0;0;1,763;19;100
715200;Softwarepiraterie in Form gewerbsmäßigen Handelns;64;64;0;12;3;1;1;35;5;7;0;0;128,310;12;100
893000;Wirtschaftskriminalität und zwar:;66,014;63,382;2,632;6,549;441;1,648;1,272;37,608;2,380;8,069;1,734;3,681;2,083,463,944;6,372;97.3
893100;Wirtschaftskriminalität bei Betrug;53,693;51,092;2,601;2,232;379;1,366;990;35,982;1,384;5,975;996;1,788;887,120,872;2,101;94.1
893200;Insolvenzstraftaten gemäß StGB und Nebenstrafrecht (Wikri);5,760;5,751;9;2,699;5;46;41;219;174;752;439;1,376;858,964,729;2,684;99.4
893300;Wirtschaftskriminalität im Anlage- und Finanzierungsbereich pp.;3,231;3,107;124;249;2;34;192;329;281;1,071;352;597;244,447,166;246;98.8
893400;Wettbewerbsdelikte (Wikri);756;735;21;513;17;64;17;79;12;21;2;10;2,799,005;500;97.5
893500;Wirtschaftskriminalität im Zusammenhang mit Arbeitsverhältnissen;3,989;3,989;0;340;28;134;205;1,195;744;1,055;160;128;53,359,579;331;97.4
893600;Betrug und Untreue im Zusammenhang mit Beteiligungen und Kapitalanlagen (Wikri);3,084;2,981;103;171;2;33;190;328;286;1,082;351;538;195,469,141;170;99.4
897100;Computerbetrug § 263a StGB;1,118;858;260;78;40;152;79;225;70;176;18;20;7,849,365;64;82.1
