1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;Saarland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;Sachsen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;Sachsen-Anhalt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;Schleswig-Holstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;Thüringen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;Bundesrepublik Deutschland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Baden-Württemberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Bayern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Berlin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Brandenburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Bremen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Hamburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Hessen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Niedersachsen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Nordrhein-Westfalen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Saarland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Sachsen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Sachsen-Anhalt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Schleswig-Holstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Thüringen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Bundesrepublik Deutschland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;Baden-Württemberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;Bayern;27;0;0;0;16;6;0;2;3;0;0;21;77.8;22;19;3;6;27.3
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;Berlin;8;0;0;0;0;0;0;8;0;0;0;7;87.5;8;8;0;3;37.5
